City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
292,onega,63.9061,38.1404,263.78,97,42,0.87,RU,1711575668
293,thulamahashi,-24.7246,31.1994,295.43,91,6,1.68,ZA,1711575669
294,kovdor,67.5662,30.4758,255.86,100,77,1.81,RU,1711575669
295,cromer,52.9312,1.2989,281.15,86,100,5.36,GB,1711575669
296,victoria falls,-17.9235,25.843,294.34,60,4,1.51,ZW,1711575669
297,bodo,67.28,14.405,273.17,69,40,2.57,NO,1711575669
298,margate,51.3813,1.3862,282.54,82,99,3.58,GB,1711575555
299,happy valley-goose bay,53.3168,-60.3315,273.32,100,100,2.57,CA,1711575669
300,haiku-pauwela,20.9219,-156.3051,300.49,75,40,9.26,US,1711575621
301,durban,-29.8579,31.0292,295.66,91,100,6.83,ZA,1711575670
302,lorengau,-2.0226,147.2712,301.22,79,86,1.22,PG,1711575670
303,uliastay,47.7417,96.8444,263.47,71,87,2.72,MN,1711575670
304,sunne,59.8376,13.143,279.33,93,100,2.19,SE,1711575670
305,shingu,33.7333,135.9833,283.74,71,100,2.01,JP,1711575670
306,itoman,26.1247,127.6694,291.53,77,75,3.6,JP,1711575671
307,auki,-8.7676,160.7034,301.61,78,85,0.21,SB,1711575671
308,maqat,47.65,53.3167,276.94,90,100,9.66,KZ,1711575671
309,ylitornio,66.3089,23.6773,270.86,96,100,3.95,FI,1711575671
310,mwinilunga,-11.7358,24.4293,291.82,96,100,0.53,ZM,1711575671
311,mana,5.6592,-53.7767,300.6,83,52,4.61,GF,1711575671
312,nanzhang chengguanzhen,31.7839,111.8275,287.36,75,85,2.31,CN,1711575671
313,eyl,7.9803,49.8164,300.89,74,50,7.35,SO,1711575671
314,thunder bay,48.4001,-89.3168,266.14,63,100,7.72,CA,1711575453
315,lerwick,60.1545,-1.1494,280.15,90,95,9.47,GB,1711575672
316,broken hill,-31.95,141.4333,290.18,38,22,5.97,AU,1711575672
317,kriva palanka,42.2019,22.3319,283.28,92,99,2.64,MK,1711575673
318,villa emilio carranza,19.9667,-96.6,298.49,69,4,7.22,MX,1711575673
319,chinsali,-10.5414,32.0816,291.04,98,26,2.32,ZM,1711575673
320,enewetak,11.3474,162.3373,300.02,74,96,7.28,MH,1711575651
321,nemuro,43.3236,145.575,272.18,76,2,2.28,JP,1711575646
322,yerofey pavlovich,53.9667,121.9667,270.4,95,100,5.25,RU,1711575619
